conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,code
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6d2588bb-9e02-4665-b10a-05f013fab9ad,skill/competence,occupation-specific,demonstrate musicianship,"demonstrate technical proficiency on a principal instrument or voice
show musicianship
prove musicianship",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Show knowledge, technical skill and sensitivity when performing music on a principal instrument or voice.",S1.14.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6d8177c5-e78a-4177-bafb-abef26791d30,skill/competence,sector-specific,sketch designs on workpieces,"sketching designs on workpieces
draw workpiece design
depict designs on workpieces
sketch workpieces' designs",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Sketch or scribe layouts and designs on workpieces, plates, dies or rollers. Use compasses, scribers, gravers, pencils, etc.",S1.12.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8,skill/competence,sector-specific,prospect new customers,"prospecting new customers
prospect a new customer
identify new customers
prospecting a new customer
seek new customers
find new customers
look for new customers",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Initiate activities in order to attract new and interesting customers. Ask for recommendations and references, find places where potential customers can be located.",T6.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6db79530-d479-4cd8-b1e1-d71d386421fd,skill/competence,occupation-specific,apply Freinet teaching strategies,"implement Freinet teaching strategies
apply Freinet teaching strategy
applying Freinet teaching strategies
applies Freinet teaching strategies
employ Freinet teaching strategies
use Freinet teaching strategies",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Employ the Freinet teaching approaches to instruct students, such as the use of Enquiry-Based Learning, Centres of Interest, Co-operative Learning, Pedagogy of Work, and The Natural Method.",S1.3.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6dbf93ce-2e5d-4116-a9f5-5468968d59f2,skill/competence,sector-specific,trade foreign currencies,"deal in foreign currencies
trade valuta
trade in different currencies",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Buy or sell foreign currencies or valuta on the foreign exchange market on your own account or on behalf of a customer or institution in order to make a profit.,S1.6.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6e4c479c-2206-4375-bf45-160f8f4711c3,skill/competence,cross-sector,collect briefing regarding products,"organise briefing regarding products
assemble briefing regarding products
collect briefing regarding a product
compile briefing regarding products
collect a briefing regarding products
undertake briefing regarding products",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Collect a comprehensive brief from internal and external customers regarding specific product requirements.,S2.2.6
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,knowledge,sector-specific,3D lighting,,,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The arrangement or digital effect which simulates lighting in a 3D environment.,0211
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab,knowledge,cross-sector,security engineering,"information security engineering
network security engineering
systems security engineering
security management",,released,2024-01-29T11:34:28.451Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Interdisciplinary field of study that focuses on the realisation of secure systems and the technology to protect individuals or information from malice, errors, or unauthorized access. It involves defining security protection requirements, processes, and methods to ensure the resilience of systems and data.",071
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f41081b-39ee-4a42-a8d4-a1cee7a39873,skill/competence,cross-sector,run laboratory simulations,"laboratory simulation carrying out
running laboratory simulations
laboratory simulation running
carrying out laboratory simulations
carry out laboratory simulations
laboratory simulations running
laboratory simulations carrying out",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Run simulations on prototypes, systems or newly developed chemical products using laboratory equipment.",S2.8.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d,knowledge,cross-sector,real estate market,"real estate market trends
real property market
trends in the real estate market
categories of properties
property market",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The trends concerning the buying, selling, or renting of property, including the land, buildings, and natural resources encompassed within the property; the categories of residential properties and properties for business purposes which such properties are traded in.",0416
